variant,eta_target,grid,step,time,dt,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,rejections_before_accept
aligned_guard_1p1,0.5,128,1,1e-06,1e-06,6.397447909002111e-05,3,3,1.4878348527931444e-09,0
aligned_guard_1p1,0.5,128,2,2.1000000000000002e-06,1.1e-06,7.037521716402158e-05,3,3,1.0169191661114528e-09,0
aligned_guard_1p1,0.5,128,3,3.3100000000000005e-06,1.21e-06,7.741671975989458e-05,3,3,1.578639395331053e-09,0
aligned_guard_1p1,0.5,128,4,4.641000000000001e-06,1.3310000000000003e-06,8.516320830722475e-05,3,3,1.3159177634263513e-09,0
aligned_guard_1p1,0.5,128,5,6.105100000000001e-06,1.4641000000000003e-06,9.368535679939115e-05,3,3,1.256707342066839e-09,0
aligned_guard_1p1,0.5,128,6,7.715610000000002e-06,1.6105100000000006e-06,0.00010306094343052564,3,3,1.875153144077465e-09,0
aligned_guard_1p1,0.5,128,7,9.487171000000002e-06,1.7715610000000007e-06,0.00011337556873356939,3,3,2.4440448154773475e-09,0
aligned_guard_1p1,0.5,128,8,1.1435888100000002e-05,1.948717100000001e-06,0.00012472344714872208,3,3,2.6434746679203233e-09,0
aligned_guard_1p1,0.5,128,9,1.3579476910000003e-05,2.1435888100000012e-06,0.00013720827970459365,3,3,3.716792277890298e-09,0
aligned_guard_1p1,0.5,128,10,1.5937424601000003e-05,2.3579476910000015e-06,0.00015094421633241473,3,3,5.10170343059156e-09,0
aligned_guard_1p1,0.5,128,11,1.8531167061100006e-05,2.5937424601000017e-06,0.00016605691727089602,3,3,6.553064830328401e-09,0
aligned_guard_1p1,0.5,128,12,2.1384283767210007e-05,2.853116706110002e-06,0.00018268472406797432,3,3,8.706783380839607e-09,0
aligned_guard_1p1,0.5,128,13,2.452271214393101e-05,3.1384283767210024e-06,0.0002009799518628055,3,3,1.1535297443300464e-08,0
aligned_guard_1p1,0.5,128,14,2.7974983358324114e-05,3.452271214393103e-06,0.00022111031594707826,3,3,1.554259015163235e-08,0
aligned_guard_1p1,0.5,128,15,3.177248169415653e-05,3.7974983358324136e-06,0.00024326050708967925,3,3,2.0426188589172842e-08,0
aligned_guard_1p1,0.5,128,16,3.5949729863572185e-05,4.177248169415655e-06,0.0002676339317723596,3,3,2.7421198661779438e-08,0
aligned_guard_1p1,0.5,128,17,4.0544702849929404e-05,4.594972986357221e-06,0.0002944546353688254,3,3,3.657278417974104e-08,0
aligned_guard_1p1,0.5,128,18,4.559917313492235e-05,5.0544702849929435e-06,0.0003239694284155822,3,3,4.894594274173473e-08,0
aligned_guard_1p1,0.5,128,19,5.115909044841459e-05,5.559917313492238e-06,0.0003564502385286058,3,3,6.495446854532492e-08,0
aligned_guard_1p1,0.5,128,20,5.727499949325605e-05,6.115909044841462e-06,0.00039219671323429116,3,3,8.669772704910261e-08,0
aligned_guard_1p1,0.5,128,21,6.400249944258165e-05,6.727499949325609e-06,0.0004315391020741359,3,3,1.1532533551989325e-07,0
aligned_guard_1p1,0.5,128,22,7.140274938683982e-05,7.40024994425817e-06,0.0004748414498460722,3,3,1.5373626897778748e-07,0
aligned_guard_1p1,0.5,128,23,7.954302432552381e-05,8.140274938683989e-06,0.0005225051368489186,3,3,2.048402583281309e-07,0
aligned_guard_1p1,0.5,128,24,8.84973267580762e-05,8.954302432552388e-06,0.0005749728065525243,3,3,2.7264596594570585e-07,0
aligned_guard_1p1,0.5,128,25,9.834705943388383e-05,9.849732675807628e-06,0.0006327327263373393,3,3,3.634127023217244e-07,0
aligned_guard_1p1,0.5,128,26,0.00010918176537727222,1.0834705943388392e-05,0.0006963236329158997,3,3,4.841784674745992e-07,0
aligned_guard_1p1,0.5,128,27,0.00012109994191499945,1.1918176537727232e-05,0.0007663401209066895,3,3,6.450943574992155e-07,0
aligned_guard_1p1,0.5,128,28,0.0001342099361064994,1.3109994191499957e-05,0.0008434386409064226,3,3,8.597758765308908e-07,0
aligned_guard_1p1,0.5,128,29,0.00014863092971714937,1.4420993610649954e-05,0.0009283441824766578,3,3,1.1460414341909412e-06,0
aligned_guard_1p1,0.5,128,30,0.00016449402268886432,1.586309297171495e-05,0.0010218577279130661,3,3,1.5277318844494145e-06,0
aligned_guard_1p1,0.5,128,31,0.00018194342495775077,1.7449402268886447e-05,0.0011248645762948792,4,4,2.2646438464259823e-09,0
aligned_guard_1p1,0.5,128,32,0.00020113776745352586,1.9194342495775094e-05,0.0012383436410896384,4,4,3.3503486994174073e-09,0
