variant,eta_target,grid,step,time,dt,eta_measured,linear_iters,nonlinear_iters,linear_per_nonlinear,residual
jacobi_5_5,0.5,64,1,1e-06,1e-06,3.197494663743919e-05,2,2,1.0,5.178409457849271e-07
jacobi_5_5,0.5,64,2,2.1000000000000002e-06,1.1e-06,3.517341415908123e-05,2,2,1.0,6.27243594390735e-07
jacobi_5_5,0.5,64,3,3.3100000000000005e-06,1.21e-06,3.869193271093926e-05,2,2,1.0,7.590926121862496e-07
jacobi_5_5,0.5,64,4,4.641000000000001e-06,1.3310000000000003e-06,4.256255028709562e-05,2,2,1.0,9.180473512045475e-07
jacobi_5_5,0.5,64,5,6.105100000000001e-06,1.4641000000000003e-06,4.682052868557353e-05,2,2,1.0,1.1109327421102716e-06
jacobi_5_5,0.5,64,6,7.715610000000002e-06,1.6105100000000006e-06,5.150466677937897e-05,2,2,1.0,1.3437337027701706e-06
jacobi_5_5,0.5,64,7,9.487171000000002e-06,1.7715610000000007e-06,5.665765651004062e-05,2,2,1.0,1.6269496889253825e-06
jacobi_5_5,0.5,64,8,1.1435888100000002e-05,1.948717100000001e-06,6.232647496229691e-05,2,2,1.0,1.9685054711790402e-06
jacobi_5_5,0.5,64,9,1.3579476910000003e-05,2.1435888100000012e-06,6.856281654670021e-05,3,3,1.0,4.3311259255422643e-10
jacobi_5_5,0.5,64,10,1.5937424601000003e-05,2.3579476910000015e-06,7.542356756856353e-05,3,3,1.0,3.5341616784406107e-10
jacobi_5_5,0.5,64,11,1.8531167061100006e-05,2.5937424601000017e-06,8.297133204996388e-05,3,3,1.0,5.106571044864074e-10
jacobi_5_5,0.5,64,12,2.1384283767210007e-05,2.853116706110002e-06,9.127500832260394e-05,3,3,1.0,3.7788603664163696e-10
jacobi_5_5,0.5,64,13,2.452271214393101e-05,3.1384283767210024e-06,0.00010041042589501547,3,3,1.0,4.789866813564964e-10
jacobi_5_5,0.5,64,14,2.7974983358324114e-05,3.452271214393103e-06,0.00011046104724515249,3,3,1.0,5.511635664821383e-10
jacobi_5_5,0.5,64,15,3.177248169415653e-05,3.7974983358324136e-06,0.00012151874161105432,3,3,1.0,8.623578516713705e-10
jacobi_5_5,0.5,64,16,3.5949729863572185e-05,4.177248169415655e-06,0.0001336846383607887,3,3,1.0,1.1349688781340958e-09
jacobi_5_5,0.5,64,17,4.0544702849929404e-05,4.594972986357221e-06,0.00014707006836052504,3,3,1.0,1.6929214063574312e-09
jacobi_5_5,0.5,64,18,4.559917313492235e-05,5.0544702849929435e-06,0.0001617976026986769,3,3,1.0,2.032285263581214e-09
jacobi_5_5,0.5,64,19,5.115909044841459e-05,5.559917313492238e-06,0.00017800219917357381,3,3,1.0,2.836930153503637e-09
jacobi_5_5,0.5,64,20,5.727499949325605e-05,6.115909044841462e-06,0.00019583246813884155,3,3,1.0,3.800062914821129e-09
jacobi_5_5,0.5,64,21,6.400249944258165e-05,6.727499949325609e-06,0.00021545207062442903,3,3,1.0,4.996318379285066e-09
jacobi_5_5,0.5,64,22,7.140274938683982e-05,7.40024994425817e-06,0.00023704126315248316,3,3,1.0,6.694429564687918e-09
jacobi_5_5,0.5,64,23,7.954302432552381e-05,8.140274938683989e-06,0.00026079860535762966,3,3,1.0,8.918020859534903e-09
jacobi_5_5,0.5,64,24,8.84973267580762e-05,8.954302432552388e-06,0.0002869428484291067,3,3,1.0,1.1899875114562575e-08
jacobi_5_5,0.5,64,25,9.834705943388383e-05,9.849732675807628e-06,0.0003157150245603796,3,3,1.0,1.588805427578392e-08
jacobi_5_5,0.5,64,26,0.00010918176537727222,1.0834705943388392e-05,0.0003473807600452316,3,3,1.0,2.110486552328871e-08
jacobi_5_5,0.5,64,27,0.00012109994191499945,1.1918176537727232e-05,0.0003822328374513606,3,3,1.0,2.8097185461251175e-08
jacobi_5_5,0.5,64,28,0.0001342099361064994,1.3109994191499957e-05,0.0004205940354852548,3,3,1.0,3.745335795428768e-08
jacobi_5_5,0.5,64,29,0.00014863092971714937,1.4420993610649954e-05,0.000462820278789287,3,3,1.0,4.992189677325431e-08
jacobi_5_5,0.5,64,30,0.00016449402268886432,1.586309297171495e-05,0.0005093041340656156,3,3,1.0,6.643872436515759e-08
